preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am,42,1,32,16,256,0.5429144501686096,0.5603939890861511,-0.5229697823524475,0.46162354946136475,0.22008240222930908,0.3689091205596924,0.09952004998922348,0.3977978229522705,-1.2113900184631348,1.247251033782959,0,1.4288642406463623,0.7114567160606384,1.800549030303955,1.6046115658907598,0.011294577270746231,16,2.0794415416798357
am_over_m,42,1,32,16,256,0.5172237753868103,0.514587938785553,-0.46724629402160645,0.46694114804267883,0.19608572125434875,0.5085986852645874,0.4470219612121582,0.3977978229522705,-1.2113900184631348,1.247251033782959,0,1.4288642406463623,0.7114567160606384,1.800549030303955,1.6046115658907598,0.011294577270746231,16,2.0794415416798357
am_logfit,42,1,32,16,256,0.5459103584289551,0.6028661727905273,-0.5494691133499146,0.5455121397972107,0.22592578828334808,0.3883977234363556,0.11745282262563705,0.45308399200439453,-1.1110855340957642,1.4767872095108032,0,1.4288642406463623,0.7114567160606384,1.800549030303955,1.6046115658907598,2.729347650665126e-11,16,2.0794415416798357
am_scalar,42,1,32,16,256,0.5147529244422913,0.5143130421638489,-0.4669269025325775,0.4632413983345032,0.19600051641464233,0.3536760210990906,0.1105068176984787,0.5565042495727539,0.5565042495727539,0.5565042495727539,0,1.4288642406463623,0.7114567160606384,1.800549030303955,1.6046115658907598,0.020001448690891266,16,2.0794415416798357
am_nobeta,42,1,32,16,256,0.5147529244422913,0.5143129229545593,-0.4669269025325775,0.4632413983345032,0.19600053131580353,0.5181863307952881,0.46324142813682556,0.0,0.0,0.0,0,1.4288642406463623,0.7114567160606384,1.800549030303955,1.6046115658907598,0.011294577270746231,16,2.0794415416798357
legacy,42,2,8,16,256,0.7896068692207336,0.8427896499633789,-0.7968388795852661,0.7962093353271484,0.47331535816192627,0.7719160914421082,0.3424319326877594,1.4131189584732056,1.1176478862762451,1.7313579320907593,0,1.0,7.218481101745056e-08,0.005516215693205595,5.6025964533974655,18906672.0,8,3.4657359027997265
legacy_fixed_solver,42,2,8,16,256,1.006899356842041,1.036852478981018,-0.8451502323150635,0.8396375179290771,0.5410155057907104,1.5039799213409424,0.9993629455566406,-7.566360950469971,-13.815510749816895,-4.441492080688477,2,1.0,7.218481101745056e-08,0.005516215693205595,5.6025964533974655,2.304499387741089,8,3.4657359027997265
shift,42,2,8,16,256,0.7508793473243713,0.8138729929924011,-0.7801279425621033,0.778367280960083,0.47345685958862305,1.1191102266311646,0.9078579545021057,-7.566274642944336,-13.815510749816895,-4.441493988037109,2,1.0,7.218481101745056e-08,0.005516215693205595,5.6025964533974655,2.304499626159668,8,3.4657359027997265
am,42,2,8,16,256,0.7122634649276733,0.7520110011100769,-0.8165719509124756,0.8072192072868347,0.5248098969459534,0.6416385173797607,0.35514959692955017,-2.0812315940856934,-13.815510749816895,2.1814157962799072,2,4.117480278015137,1.0591862201690674,5.800249099731445,2.88935270614568,13.755393028259277,8,3.4657359027997265
am_over_m,42,2,8,16,256,0.7517659068107605,0.8304123282432556,-0.7799611687660217,0.7791022062301636,0.4766811728477478,1.0521149635314941,0.8648521900177002,-2.0812315940856934,-13.815510749816895,2.1814157962799072,2,4.117480278015137,1.0591862201690674,5.800249099731445,2.88935270614568,13.755393028259277,8,3.4657359027997265
