preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am_over_m,42,2,8,16,256,0.6564149856567383,0.7117188572883606,-0.7527939081192017,0.7487850785255432,0.4148067831993103,0.8542161583900452,0.7725047469139099,1.3504303693771362,0.8092932105064392,1.9826226234436035,0,3.4024791717529297,0.8614373803138733,5.044669151306152,2.512024914365822,10.99743938446045,8,3.4657359027997265
am_logfit,42,2,8,16,256,0.6489151120185852,0.7004181742668152,-0.7680649757385254,0.7678951025009155,0.4179531931877136,0.5711590647697449,0.295791357755661,1.537363052368164,0.7945976257324219,1.8474098443984985,0,3.4024791717529297,0.8614373803138733,5.044669151306152,2.512024914365822,0.09771504253149033,8,3.4657359027997265
am_scalar,42,2,8,16,256,0.6571507453918457,0.7123045921325684,-0.7473934292793274,0.745976984500885,0.41477280855178833,0.5777547955513,0.33065807819366455,1.5914536714553833,1.5914537906646729,1.5914537906646729,0,3.4024791717529297,0.8614373803138733,5.044669151306152,2.512024914365822,0.12213338166475296,8,3.4657359027997265
am_nobeta,42,2,8,16,256,0.6571507453918457,0.7123045921325684,-0.7473933696746826,0.7459770441055298,0.41477274894714355,0.8792500495910645,0.7909412980079651,0.0,0.0,0.0,0,3.4024791717529297,0.8614373803138733,5.044669151306152,2.512024914365822,10.99743938446045,8,3.4657359027997265
legacy,42,2,16,16,256,0.6436693072319031,0.7810434699058533,-0.6569348573684692,0.6553075313568115,0.28839319944381714,0.6614779233932495,0.7234389185905457,1.400339961051941,1.0452656745910645,2.031251907348633,0,1.0,6.34539887300889e-08,0.002120246645063162,3.2943724245189436,72902264.0,16,2.772588722239781
legacy_fixed_solver,42,2,16,16,256,1.297110676765442,1.4671701192855835,-0.7440053224563599,0.7419845461845398,0.39673882722854614,1.507143497467041,0.999199628829956,-8.286645889282227,-13.815510749816895,-4.71877908706665,5,1.0,6.34539887300889e-08,0.002120246645063162,3.2943724245189436,1.0874032974243164,16,2.772588722239781
shift,42,2,16,16,256,0.6254575252532959,0.8018560409545898,-0.5786048769950867,0.5768023133277893,0.2884887456893921,0.8729708194732666,0.8018391132354736,-9.692706108093262,-13.815510749816895,-2.8481826782226562,9,1.0,6.34539887300889e-08,0.002120246645063162,3.2943724245189436,156.0963592529297,16,2.772588722239781
am,42,2,16,16,256,0.6769546270370483,0.8169624209403992,-0.6466265320777893,0.6390073895454407,0.30910050868988037,0.5657841563224792,0.15718044340610504,0.7759121060371399,-2.150113105773926,1.8425217866897583,0,3.4024791717529297,0.8614373803138733,2.730820655822754,1.8034073792408998,1.877193570137024,16,2.772588722239781
am_over_m,42,2,16,16,256,0.6329089403152466,0.8113412857055664,-0.616995096206665,0.6080790162086487,0.2835879325866699,0.6451945304870605,0.599478542804718,0.7759121060371399,-2.150113105773926,1.8425217866897583,0,3.4024791717529297,0.8614373803138733,2.730820655822754,1.8034073792408998,1.877193570137024,16,2.772588722239781
am_logfit,42,2,16,16,256,0.6550256013870239,0.7948672771453857,-0.6686797142028809,0.6667194962501526,0.3110519349575043,0.5554692149162292,0.18473219871520996,0.7864132523536682,-2.7113137245178223,1.8005268573760986,0,3.4024791717529297,0.8614373803138733,2.730820655822754,1.8034073792408998,0.028577229008078575,16,2.772588722239781
am_scalar,42,2,16,16,256,0.6356147527694702,0.8136420249938965,-0.6143574714660645,0.6123926043510437,0.28343918919563293,0.5518368482589722,0.17341355979442596,1.038432240486145,1.0384323596954346,1.0384323596954346,0,3.4024791717529297,0.8614373803138733,2.730820655822754,1.8034073792408998,0.04763611778616905,16,2.772588722239781
am_nobeta,42,2,16,16,256,0.6356117129325867,0.8136411309242249,-0.614357590675354,0.6123926639556885,0.28343915939331055,0.6688869595527649,0.614357590675354,0.0,0.0,0.0,0,3.4024791717529297,0.8614373803138733,2.730820655822754,1.8034073792408998,1.877193570137024,16,2.772588722239781
