seed,focus_strength,beta_mode,budget,compression_ratio,n_blocks,fixed_length,M,n_eval_queries,n_queries,lhs_median,lhs_mean,rhs_median,rhs_mean,ratio_median,ratio_p5,ratio_min,ratio_max,frac_rhs_ge_lhs,frac_rhs_ge_lhs_tol,frac_at_equality,n_violating,n_violating_strict,rel_tol,lhs_zero_frac,precondition_violation_frac,precondition_margin_median,share_out_median,share_mass_median
44,0.0,none,128,0.5,2,128,32,48,48,0.2638144479193494,0.26133817113169755,0.6807937564214674,0.6866798290689019,2.6606037184901834,2.21875611333765,2.022663573768797,3.2747949053587764,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.882663826662904,0.3505757443210038,0.6481889452749149
44,0.0,none,256,1.0,2,128,32,48,48,0.21643135756057055,0.2179606964013219,0.21643135756057064,0.2179606964013219,1.0,0.9999999999999996,0.9999999999999994,1.0000000000000007,0.6458333333333334,1.0,1.0,17,0,1e-09,0.0,0.0,18.616774312180066,1.0,0.0
44,0.0,full,8,0.03125,2,128,32,48,48,0.29446899840609614,0.29985398025197174,0.7195439181244156,0.7300127102624074,2.543344581288847,1.3023179438739867,1.0797468358556697,3.810275029046596,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.226833889324311,0.35888082132449267,0.6410915387860501
44,0.0,full,16,0.0625,2,128,32,48,48,0.27619555476428886,0.2780366974989044,0.5473681535801791,0.5799361993652467,1.9929692172704534,1.208224008292657,1.0177064596747147,4.117427541607048,1.0,1.0,0.0,0,0,1e-09,0.0,0.020833333333333332,11.225896164783745,0.4720560132572677,0.5165707532652638
44,0.0,full,32,0.125,2,128,32,48,48,0.27407899883111875,0.2884695932604959,0.4771910209095477,0.5322389647263819,1.7129050423200272,1.1697051638190314,1.0296160404674044,3.0973155632967084,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,12.482440281708215,0.591074527285212,0.39750797697010687
44,0.0,full,64,0.25,2,128,32,48,48,0.24750481774093153,0.2646793863395667,0.3807895722544323,0.40868885055534004,1.473585076032232,1.0503288087987466,1.0133341723021732,2.5065637235566802,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,14.41141433108465,0.6648572047574605,0.32660295185506616
44,0.0,full,128,0.5,2,128,32,48,48,0.231030560586379,0.22913764445733942,0.29093758230761396,0.30314577201655696,1.2807094208627223,1.0192510479632455,1.0088342968345645,1.8173190450428944,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,16.473696910806357,0.7734297277453411,0.21180523948721877
44,0.0,full,256,1.0,2,128,32,48,48,0.21529093892450127,0.217697310617646,0.23067899886749085,0.22565451236705136,1.0344120699769506,1.008320657461986,1.0020394523386849,1.0987738425027223,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,18.550342564071126,0.9661054432407812,0.033381106779357544
44,8.0,none,8,0.03125,2,128,32,48,48,0.7636651239493911,0.8644420246427007,2.3183570995474714,2.4761905991460593,2.9235685486508154,2.2447267144351097,1.7082744740045774,4.610812941344371,1.0,1.0,0.0,0,0,1e-09,0.0,0.9375,-1.7620699229922874,0.3879526272829583,0.606316907137007
44,8.0,none,16,0.0625,2,128,32,48,48,0.4364045582179276,0.48570527908253686,1.6044697665943386,1.7069516582699389,3.611606133934689,2.6733337392134553,2.3209240094316703,5.620641520088896,1.0,1.0,0.0,0,0,1e-09,0.0,0.6041666666666666,-0.26814150547199533,0.30095021785153586,0.6987625017967195
44,8.0,none,32,0.125,2,128,32,48,48,0.4395730901109195,0.47277533838828284,1.3337542716255113,1.4124257159002258,2.984055184880803,2.275435708223837,1.8931728816153668,5.254780776582567,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,1.2147121916303343,0.37415018268641387,0.6206916318697303
44,8.0,none,64,0.25,2,128,32,48,48,0.3306757155470038,0.3607274300935514,0.8131180735357743,0.905441510218265,2.5748153108816254,1.8396390172874448,1.7852083587045124,4.9912772941506915,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,3.859390418793928,0.4011637394903111,0.5957846337654317
44,8.0,none,128,0.5,2,128,32,48,48,0.26266068445625096,0.30290141545025606,0.44650128819680834,0.49871100146641084,1.6236456491961462,1.319988551524546,1.3024671276671325,2.735890654140088,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.0659941025781565,0.615765361779893,0.3833351956980745
44,8.0,none,256,1.0,2,128,32,48,48,0.25379637218913376,0.2818604529490563,0.2537963721891337,0.2818604529490563,1.0,0.9999999999999996,0.9999999999999993,1.0000000000000013,0.5625,1.0,1.0,21,0,1e-09,0.0,0.0,7.432921639850827,1.0,0.0
44,8.0,full,8,0.03125,2,128,32,48,48,0.36124380306756093,0.42402510212335126,0.7816025673364367,0.9248559498275082,2.1470069263283764,1.0425500142885902,1.000166133039,3.574714557222001,1.0,1.0,0.0,0,0,1e-09,0.0,0.0625,3.9537080092708283,0.45648513306261157,0.542189216555424
44,8.0,full,16,0.0625,2,128,32,48,48,0.31075050411542243,0.34621533175562164,0.6005543764975059,0.7227298943487899,1.912107495525041,1.2679954159053772,1.0623563036948238,5.03743445431171,1.0,1.0,0.0,0,0,1e-09,0.0,0.020833333333333332,5.007230705137074,0.5012944499619384,0.4756027793908897
44,8.0,full,32,0.125,2,128,32,48,48,0.3242204472048421,0.3922229763670619,0.56723237427282,0.6687623078135142,1.6457986095014254,1.0516416966814828,1.0015002688148362,3.3969262303080345,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.0805747142066,0.6005341669124598,0.39744832470817426
44,8.0,full,64,0.25,2,128,32,48,48,0.2652146601581187,0.30861537927784527,0.4001139089856614,0.4816182255677433,1.5012030061796109,1.09436000551696,1.0093714833591025,2.4592635721509364,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.704514369459348,0.6602835598454433,0.33118769272319803
44,8.0,full,128,0.5,2,128,32,48,48,0.2435510685683028,0.26303352210110936,0.29752305660599454,0.3570485908307219,1.2672386564169482,1.0510011147225613,1.0272680252475015,2.323880901436942,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,7.362820648022416,0.7795746690116734,0.212023339417693
44,8.0,full,256,1.0,2,128,32,48,48,0.23726677167349922,0.2580204077832316,0.2857031129571119,0.3285288877067367,1.1952385394705531,1.0455602549082823,1.0016078402319208,2.0101240608086,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,7.328840531158785,0.8229824062195368,0.16227918166052582
45,0.0,none,8,0.03125,2,128,32,48,48,0.5667655925923715,0.6030870552889703,1.2861314455711765,1.3490225074463842,2.2201536040323027,1.9758971640991876,1.7653232596726918,2.8197853577352134,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-4.34711637049725,0.23336477468623482,0.762184364108873
45,0.0,none,16,0.0625,2,128,32,48,48,0.5303226849544985,0.5664953992198878,1.2736687207197022,1.32289515594523,2.3187308747080797,2.064345232061066,2.00731508045477,2.8919742392292167,1.0,1.0,0.0,0,0,1e-09,0.0,0.9791666666666666,-3.536529383890999,0.24314823434416588,0.7555385037903122
45,0.0,none,32,0.125,2,128,32,48,48,0.48915305620428234,0.5197976689210324,1.2696140621628507,1.364092630620724,2.626575459615408,2.170139281607054,2.1370781756474435,3.4472363653090627,1.0,1.0,0.0,0,0,1e-09,0.0,0.9583333333333334,-2.0661610444189513,0.3246929121916431,0.6684388875459981
45,0.0,none,64,0.25,2,128,32,48,48,0.4110906923115746,0.4299810929016806,1.0620207283623704,1.1220398062429995,2.5956578361595657,2.2419625945087596,2.1161297229388785,3.39625085671224,1.0,1.0,0.0,0,0,1e-09,0.0,0.3125,0.5177775153072748,0.303128405176298,0.6962407674125163
45,0.0,none,128,0.5,2,128,32,48,48,0.2912777297521915,0.32240589118879215,0.7405241717398263,0.7937637568903786,2.5074543333942643,2.0351979848573603,1.8992507324623582,3.274657967703236,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,5.478457522068592,0.34289506926244123,0.6553901178350497
45,0.0,none,256,1.0,2,128,32,48,48,0.21755037825036222,0.25203883903582136,0.21755037825036216,0.2520388390358214,1.0,0.9999999999999997,0.9999999999999994,1.0000000000000009,0.6875,1.0,1.0,15,0,1e-09,0.0,0.0,16.017567418332266,1.0,0.0
45,0.0,full,8,0.03125,2,128,32,48,48,0.33859870437605016,0.3662566241705181,0.8615399459501681,0.8834777892542469,2.443311454762509,1.4284499900182088,1.0111999991496818,4.605452199733546,1.0,1.0,0.0,0,0,1e-09,0.0,0.0625,3.962941967426154,0.3511432489732632,0.6484570532114026
45,0.0,full,16,0.0625,2,128,32,48,48,0.2969379195884851,0.3276009596702615,0.6420289025038264,0.7104235097033316,2.1473329577834344,1.1626405943642237,1.045832266172395,4.537465056836957,1.0,1.0,0.0,0,0,1e-09,0.0,0.020833333333333332,7.671653439356707,0.44876866451084646,0.5440193830307357
45,0.0,full,32,0.125,2,128,32,48,48,0.2972938444034276,0.33175363132330354,0.5670766482150384,0.6642495585092881,2.0173196641873448,1.1962620054364677,1.0445732434266568,3.878392080267444,1.0,1.0,0.0,0,0,1e-09,0.0,0.020833333333333332,10.296227665745079,0.4849729032428115,0.4889615602139655
45,0.0,full,64,0.25,2,128,32,48,48,0.3039619130042057,0.32311090278107346,0.48621098342218133,0.5562830631319731,1.6593658640560203,1.0974889513609272,1.002691002831684,2.438593016954111,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,11.500365691197139,0.5702384936637912,0.39033659307067925
45,0.0,full,128,0.5,2,128,32,48,48,0.24738169476655847,0.2725852622993585,0.35996737908901877,0.38384600871222957,1.505578434266008,1.0460205585161262,1.001635239423926,2.0707251540812264,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,12.872088282347498,0.6690957558305695,0.3242333671704456
45,0.0,full,256,1.0,2,128,32,48,48,0.21689910445554345,0.25134348590780214,0.2392222736749579,0.26683668852547177,1.0611016981287253,1.0128491475888168,1.001119091620246,1.1614047990688825,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,15.600885573633015,0.9405031966588977,0.05857307003709283
45,8.0,none,8,0.03125,2,128,32,48,48,0.5984714731422018,0.631788104155643,1.95015692736883,2.03675666772913,3.190947218168373,2.642932006112796,2.4037836496104954,4.820155563162172,1.0,1.0,0.0,0,0,1e-09,0.0,0.7916666666666666,-0.47587343303012286,0.270103930367313,0.7252649348905289
45,8.0,none,16,0.0625,2,128,32,48,48,0.5269659396314871,0.5657422723937525,1.6780373588995348,1.7807105134375016,3.2390448688151507,2.649022191427966,2.2717278739549727,4.464611597496425,1.0,1.0,0.0,0,0,1e-09,0.0,0.16666666666666666,0.5227142060876169,0.2995932931258628,0.699349234440528
45,8.0,none,32,0.125,2,128,32,48,48,0.6147786324369651,0.6727319233857654,1.5178946005668859,1.6313695471318426,2.4861540748748414,1.8270529697463187,1.4979549442673925,4.277048407574964,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,1.971851978384728,0.4382922433270394,0.5386778562587471
