protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
in-sample,48,48,none,4.0,128,0,0.35911282896995544,0.6118764877319336,0.25276365876197815
in-sample,48,48,none,4.0,128,1,0.31783488392829895,0.6027860641479492,0.28495118021965027
in-sample,48,48,none,4.0,128,2,0.37462976574897766,0.6535933613777161,0.2789635956287384
in-sample,48,48,none,4.0,128,3,0.3028494417667389,0.6012235283851624,0.29837408661842346
in-sample,48,48,none,8.0,16,0,1.1878076791763306,0.7072163224220276,-0.480591356754303
in-sample,48,48,none,8.0,16,1,0.5464184880256653,1.4791127443313599,0.9326942563056946
in-sample,48,48,none,8.0,16,2,0.4411388337612152,1.2440391778945923,0.8029003441333771
in-sample,48,48,none,8.0,16,3,0.6954824328422546,0.8085269927978516,0.11304455995559692
in-sample,48,48,none,8.0,32,0,0.620517909526825,1.0935224294662476,0.4730045199394226
in-sample,48,48,none,8.0,32,1,0.3431589901447296,0.9642824530601501,0.6211234629154205
in-sample,48,48,none,8.0,32,2,0.4159829318523407,1.0418363809585571,0.6258534491062164
in-sample,48,48,none,8.0,32,3,0.6271917223930359,1.15244460105896,0.5252528786659241
in-sample,48,48,none,8.0,64,0,0.3586829900741577,0.5808830857276917,0.22220009565353394
in-sample,48,48,none,8.0,64,1,0.3619651794433594,0.5307411551475525,0.16877597570419312
in-sample,48,48,none,8.0,64,2,0.24412189424037933,0.7867063879966736,0.5425844937562943
in-sample,48,48,none,8.0,64,3,0.36221012473106384,0.5738329291343689,0.21162280440330505
in-sample,48,48,none,8.0,128,0,0.22154347598552704,0.47673261165618896,0.2551891356706619
in-sample,48,48,none,8.0,128,1,0.18123722076416016,0.4209199845790863,0.23968276381492615
in-sample,48,48,none,8.0,128,2,0.1552763432264328,0.5317927002906799,0.37651635706424713
in-sample,48,48,none,8.0,128,3,0.24297605454921722,0.48380938172340393,0.2408333271741867
in-sample,48,48,none,16.0,16,0,0.06946420669555664,0.29249122738838196,0.22302702069282532
in-sample,48,48,none,16.0,16,1,0.13355182111263275,0.3489905297756195,0.21543870866298676
