seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
43,0.0,64,0.25,16,64,32,48,48,0.5238095238095238,0.6,0.13344839395092456,0.32058210942820875,5.98654515518135,5.885395656768864,1.0171865247997618,0.4166666666666667,0.17722268754295806,0.17994199580284018,0.670662995987232,0.7000053936022465
43,0.0,64,0.25,32,64,32,48,48,0.5238095238095238,0.5609756097560976,0.10301950784609118,0.24851900855438824,6.013653700376038,5.885395656768864,1.0217925949394142,0.3541666666666667,0.17697834375777496,0.1740841599391391,0.6805708294708508,0.6851742709667549
43,0.0,64,0.25,64,64,32,48,48,0.5238095238095238,1.0,0.07035856632988331,0.16234772280391874,5.9354126032649495,5.885395656768864,1.0084984849638021,0.4583333333333333,0.17444651969268313,0.19128988806237338,0.7465152741605501,0.7753998695609847
43,0.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,5.929589273827803,5.885395656768864,1.007509030766199,0.4375,,,,
43,8.0,16,0.0625,4,64,32,48,48,0.4883720930232558,0.5609756097560976,0.27797973333656256,0.6502844902377423,5.935412603264948,5.88539565676886,1.0084984849638026,0.4166666666666667,0.14380728706521329,0.18125617312887277,0.3587801256786776,0.3755090599094868
43,8.0,16,0.0625,8,64,32,48,48,0.5238095238095238,0.6410256410256411,0.1861752519345507,0.45014052476054445,5.935412603264948,5.88539565676886,1.0084984849638026,0.3958333333333333,0.17375207889361452,0.1969890083329724,0.37664575419016116,0.4209608932579192
43,8.0,16,0.0625,16,64,32,48,48,0.5609756097560976,0.6842105263157895,0.13344839395092456,0.32058210942820886,5.984133620403608,5.88539565676886,1.0167767758349724,0.375,0.1771427677120049,0.18500937543337823,0.3763625308270041,0.3932576468123954
43,8.0,16,0.0625,32,64,32,48,48,0.5609756097560976,0.5609756097560976,0.10301950784609118,0.24851900855438802,5.994731969519617,5.88539565676886,1.018577563706187,0.375,0.14667241634078879,0.1815775941889405,0.4005573661133496,0.40718887922562014
43,8.0,16,0.0625,64,64,32,48,48,0.7297297297297297,1.0,0.07035856632988328,0.16234772280391896,5.986545155181353,5.88539565676886,1.0171865247997631,0.3541666666666667,0.15261651426751183,0.200272693053373,0.41946797651484685,0.40852317848746317
43,8.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,6.014130878375273,5.88539565676886,1.0218736732605787,0.3125,,,,
43,8.0,32,0.125,4,64,32,48,48,0.4883720930232558,0.5609756097560976,0.27797973333656256,0.6502844902377423,5.935412603264948,5.88539565676886,1.0084984849638026,0.4166666666666667,0.08315001954689982,0.09867121828934396,0.30163965030068474,0.31586279106728354
